urn,name,city,postcode
138178,South East Learning Alliance,South Croydon,CR8 1EX
138215,The Wroxham School,Potters Bar,EN6 3DJ
138216,Salop Teaching Partnership,Shrewsbury,SY3 9EE
138227,Avanti Schools Trust,"",""
138266,Reach Academy Feltham,Feltham,TW12 4AB
138315,TEAM Academy Trust,Barnstaple,EX31 1JU
138329,St Bernard's School Direct Training,Rotherham,S65 3BE
138336,The Rodillian Multi Academy Trust,"Lofthouse, Wakefield",WF3 3PS
138352,Dacorum Schools Alliance,Tring,HP235JD
138459,The Holy Cross School,New Malden,KT3 5AR
138461,Waldegrave Training Alliance,Twickenham,TW2 5LH
138464,Loreto School Direct Alliance,Altrincham,WA14 4AH
138469,Pioneer Learning Trust,Luton,LU1 5EZ
138471,Sherborne Area Schools Trust,Sherborne,DT9 4EQ
138483,Cheshire Vale Teaching Support Alliance, Tarporley,CW6 0BL
138505,"Teach Central, formerly RSA Academies'",Birmingham,B3 1SF
138506,The OAKS Suffolk,Sudbury ,CO10 1NW
138525,The Trinity Partnership,Newbury,RG14 2DU
138527,Achieve with TELA,Leicester ,LE9 6PT
138542,North East Lincolnshire ITT Partnership,Grimsby,DN34 4JU
138562,School Direct at The Great Schools Trust,Warrington,WA1 4PF
138595,Middlefield Primary Academy,St. Neots,PE19 2QE
138611,Connect Teaching Partnership,Petts Wood,BR5 1EL
138623,Excalibur @  St John’s,Marlborough,SN8 4AX
138634,Maplefields Academy (Mainstream and Special Needs),Bedford,MK43 7DB
138651,Orleans Park Teaching Alliance,Twickenham,TW13BB
138665,"Queen Elizabeth's Grammar School, Horncastle",Horncastle,LN9 5AD
138693,Greenholm Primary School,Great Barr,B44 8HS
138717,Eden Learning Trust,Ferryhill ,DL17 8RW
138729,The Golden Thread Teaching School Hub,Cheadle,ST10 1LL
138742,Cheshire Leadership & Teaching Alliance,Kelsall,WA16 9QG
138752,Staniland Academy,Boston,PE21 7TW
138753,Ellison Boulters Church of England Primary School,Lincoln,LN2 2UZ
138763,Axbridge C of E First School Academy,Axbridge,BS23 2UX
138816,Grantham and South Lincolnshire ITT Partnership,Grantham,NG31 9AZ
138818,Bradgate Education Partnership (BEP) School Direct,"Syston, Leicestershire",LE7 2PT
138825,Grey Court Training School,Richmond,TW10 7HN
138841,Mercia Learning Alliance,Sheffield,S17 3QU
138845,North East Schools Teaching Alliance,Nunthorpe,TS7 0LA
138957,"Teach North West, SS Simon and Jude Alliance",Bolton ,BL3 2DT
138961,Catholic Schools' Partnership,Bermondsey,SE16 4UN
138982,Academies Enterprise Trust: Essex,"3rd Floor, 183 Eversholt Street",NW1 1BU
138999,L.E.A.D. Academy Trust,Nottingham,NG1 5DU
139080,Teach North: West Yorkshire,Doncaster,DN6 7EQ
139104,Teach Thurrock Primary Partnership,South Ockendon,RM15 5JQ
139106,Woodside Academy,Grays,RM16 2GJ
139128,NIoT@Oasis Community Learning,Birmingham,B15 2HU
139152,Omega Teaching Partnership,Great Sankey,WA5 3ZJ
139154,Hitchin Boys' School,Hitchin,SG5 1JB
139159,Spiral Partnership Trust,St Albans,AL1 4LW
139167,Chorus Education Trust and Sheffield Teacher Training Alliance,Sheffield,S11 9QH
139286,The Spire Church of England Learning Trust,Bromsgrove,B61 7DH
139292,Caludon Castle School,Coventry,CV2 5BD
139352,Bishop Wheeler Catholic Academy Trust Professional Development Partnership (BWCAT Partnership) ,Horsforth,LS18 5AB
139360,Kelvedon St Marys - Essex and Thames SCITT,Essex,EX5 5EX
139369,St George RC School,Maida Vale,W91RB
139405,Northern Education Trust,Hartlepool,TS24 8NQ
139514,Blackburn Team Alliance,Blackburn,BB2 6LX
139543,The Rayleigh Primary School Academy Trust,Essex,EX5 5EX
139624,Lionheart Teach,Leicester,LE2 5TP
139686,Liverpool College Teaching Partnership,Mossley Hill,L18 8BG
139723,Riverley Primary School,Leyton,E10 7BZ
139751,Oadby Launde Academy School Direct,"Leicester, Leicestershire",LE2 4LJ
139788,Waverley School Direct,Birmingham,B9 5QA
139823,Teach North: County Durham,Middlesbrough,TS5 7JY
139837,Abacus Belsize Primary School,London,N1C 4PF
139841,Broadway Academy,Birmingham,B20 3DP
139867,ATT Partnership,Mildenhall,IP28 7JX.
139872,Stour Vale School Direct,Halesowen,B63 3NA
139873,Richard Hale School/The Sele School Partnership,Hertford,SG13 8EN
139961,Creative Education Trust,Wellingborough,NN8 2DQ
139975,The Beckfoot School Direct Partnership,Bingley,BD16 1EE
139978,Shanidar - West Yorkshire,Bradford,BD5 9ET
139988,The Ferrers School,"Swavesey, Cambridge",CB24 4RS
140027,Celtic Cross Education,Roche,PL26 8LX
140078,Ventrus Training school,Exeter,EX5 4RF
140081,St Mary's Catholic School,Newcastle-upon-Tyne,NE7 7PE
140096,Paradigm Trust: Old Ford Primary Academy and Ipswich Academy,Bow,E3 5LD
140133,"everyonelearning@ Hawthorns, Kingfisher, Mossley Hollins Teaching Partnership",Audenshaw,M34 5SF
140143,Blackpool Sea View Trust School Direct ITT,Blackpool,FY3 9HF
140154,OAKS Norths Staffordshire and Shropshire Hub,Crewe,CW3 9JJ
140182,University of Chichester Academy Trust School Direct Partnership,Bognor Regis,PO21 1HR
140242,Tykes TSA,Barnsley,S75 3SP
140248,Futures Teaching,Coventry,CV6 4GL
140292,South Bromsgrove Teacher Training Partnership,Bromsgrove,B60 3NL
140320,The Primary First Trust,Gravesend,DA11 0DY
140329,Tall Oaks Academy Trust,Gainsborough,DN21 1EH
140372,Transforming Lives Educational Trust Initial Teacher Training (TLET ITT),Rugby,CV23 1ED
140417,Orange Moon Education,Nottingham,NG7 6JF
140444,Aspirer School Direct,Macclesfield,SK117TF
140471,Ebor Academy Trust,York,YO10 3PR
140472,Bishop Luffa,Chichester,PO19 3HP
140507,John Donne Primary School,London,SE15 2SW
140534,Attleborough Academy,Attleborough,NR17 2AJ
140575,Beal High School (NELTA),Ilford,IG45LP
140584,Sunderland Aim High Alliance,Houghton Le Spring Tyne & Wear,DH4 4EE
140646,Learners First Schools Partnership,Wickersley,S66 1JL
140663,Eastgate Academy,King's Lynn,PE30 1QA
140704,PACE Academy Trust,Coulsdon,CR5 3BW
140713,The South Downs School Direct Partnership,Worthing,BN13 1JX
140795,Whitefield Alliance,Walthamstow,E17 4AZ
140855,CMAT West Town Primary,Cambridge,CB24 4RS
140896,Ignite Institute,Ellesmere Port,CH65 5EW
140925,Hursthead Junior School Alliance,Cheadle Hulme,SK8 7PZ
140932,Bengeworth Multi-Academy Trust,Evesham,WR11 3EU
140933,Black Pear Trust Alliance,Hollymount Road,WR4 9SG
140981,Congleton education Community Partnership,Congleton,CW12 4QJ
141063,Magnificat Partnership,Widney Manor Road,B91 3WR
141163,Woolwich Poly,"",SE28 8AT
141173,Rise Park Academy Trust FIPC,Romford,RM1 4UD
141184,Castleman Learning Network,Bournemouth,BH10 5HT
141217,Kent Catholic Schools' Partnership Initial Teacher Training,,
141255,John F Kennedy Special School,Essex,EX5 5EX
141259,The Ripley Academy,Derby,DE5 3JQ
141275,The Education Learning Trust,Cheadle,SK8 4NB
141277,Lawrence Sheriff School,Rugby,CV21 3AG
141296,Sheringham Primary School,Essex,EX5 5EX
141342,Invictus Education Trust,"",""
141379,NET Academies Trust FIPC,Harlow,CM18 7RQ
141443,Rivers Teaching Alliance,Worcester,WR2 5NS
141454,The Rutland Learning Trust,Whissendine,LE15 7ET
141476,Torfield School,Hastings,TN34 3JT
141526,"QE School, Wimborne",Wimborne Minster,BH21 4DT
141563,Josie Thirkell Institute of Education,Barnsley,S70 2JW
141565,NIoT@Star Academies,Blackburn,BB1 2HT
141666,STEP Ahead Teaching School Hub,Hailsham,BN27 2PH
141683,Sydney Russell Teacher Training Centre,Dagenham,RM9 5QT
141684,Brighter Futures Learning Partnership Trust,,
141757,Initio Learning Trust,Poole,BH17 8AP
141760,The Forge Trust,Newark,NG24 4EP
141799,Waterton Academy Trust,Wakefield ,WF2 6LD
141819,ASSET Education,Ipswich,IP4 2LT
141858,Manor Primary School,Coseley,WV14 9UQ
141916,Rushey Mead Academy,Leicester,LE4 7AN
141926,Our Lady and St Hubert's Catholic Primary School,Oldbury,B68 8ED
141931,Saint John Southworth Enterprise and Research Alliance,London,W14 8BZ
141995,Cumbria Education Trust,"",""
142161,North West Learning Partnership,St Helens,WA10 2HS
142177,Avenue Primary Academy,Sutton,SM2 6JE
142178,London South Teaching School Hub,London,SE22 8RB
142205,Blue Sky,Coventry,CV2 4DW
142273,Sacred Heart Secondary - Redcar and Cleveland Teacher Training,"",""
142282,Nicholas Postgate Catholic Academy Trust,Thornaby,TS176NE
142283,One Sixth Form College,Ipswich,IP8 3SU
142349,Elston Hall Learning Trust (St Bartholomew's Multi Academy Trust),Wolverhampton,WV10 6NN
142420,Castle Hill School,Huddersfield,HD4 6JL
142429,Aquila,"Unit 33, Folkestone Enterprise Cen",CT19 4RH
142452,Morley Exceed Partnership,Tingley,WF3 1AR
142505,St Ives Primary School,Ringwood,BH24 2LE
142546,Blue Kite Academy Trust,Swindon,SN2 1NX
142671,Twynham Learning (School Direct),Poole,BH17 8AP
142705,Telford Partnership,Telford,TF3 1ET
142727,Southgate Learning Alliance,Cockfosters,EN4 0BL
142732,St Francis of Assisi Catholic Primary School,Norwich,NR2 3QB
142749,Sheffield South East Learning Partnership (SSELP),Sheffield,S9 1SG
142813,Templars Academy,Essex,EX5 5EX
142983,Stafford Hub,Stafford,ST16 1NR
142996,Inspire Multi Academy Trust Teaching Alliance,Houghton le Spring,DH4 5HB
143063,Campus Stockton Teaching Alliance,Stockton on Tees,TS160LA
143064,Generate Teaching Hub,Warrington,WA5 1BD
143096,Exceed Partnership,Bradford,BD10 0EF
143201,Bowes Primary School,Arnos Grove,N11 2HL
143217,The Bridge London TSA,london,n7 9ld
143232,Yorkshire Anglican Learning and Education Partnership,Huddersfield,HD8 9HR
143238,Brigshaw Learning Partnership,"",""
143274,"Forest Gate Community School, Community Schools Trust",Newham,E79BB
143278,Thorpe St Andrew School and Sixth Form,Norwich,NR7 0XS
143285,St Peter's Teaching School,Portishead,BS206BT
143288,Scarborough TSA - Coast & Vale Learning Trust,Scarborough,YO12 6TH
143338,The Federation of Greenways Schools,Essex,EX5 5EX
143384,Arbor Academy Trust,London,E11 3DR
143451,Doncaster Partners in Learning Alliance,Doncaster,DN1 3BU
143476,Plymouth Teachers and Schools Alliance,St Judes,PL4 8QZ
143480,Forge TSA,Rotherham,S63 6PY
143506,ConnectEd Partnership,Greenacres Avenue,VV10 8NZ
143569,Parkwood Primary School,Keighley,BD21 4QH
143588,The Wonder Institute of Education,Pocklington,YO42 2LL
143597,Halstow Primary School,Greenwich,SE10 0LD
143629,City Excellence in Teaching,London,E1 2JP
143783,Hales Valley Teaching Hub,Halesowen,B63 1BU
143793,West Yorkshire Teaching Alliance,Huddersfield,HD8 8HU
143801,The Diocese of Hereford Multi Academy Trust,Ludlow,SY8 1HG
143879,East Lancashire Inclusion Partnership,Haslingden,BB4 6LR
143905,Southam Teaching Alliance,Southam,CV47 0JW
143929,Hereteach Alliance,Hereford,HR1 1LU
143994,The Learning Institute South West [School Direct],Helston,TR13 8UP
144042,Forward Education Trust ITT,Birmingham,B26 1NS
144046,St. James's School Direct Partnership,"",BL4 9RU
144072,Exeter Consortium,Exeter,EX4 2FB 
144104,St Mary's College,Hull,HU6 7TN
144131,Manchester Trusts and Schools Alliance,Chorlton,M21 8EH
144136,Middlesbrough Schools' Teaching Alliance,Middlesbrough,TS3 8PW
144144,Inclusive Schools Trust,Norwich,NR1 4AN
144168,North Star,Thirsk,YO7 1TS
144204,Teach North East,South Shields,NE34 6DL
144214,Claydon High School,Claydon,IP6 0EG
144217,Orwell Education Alliance,Ipswich,IP2 8PY
144220,South of Tyne Primary Alliance,Washington,NE37 1NL
144238,Vita London,Walthamstow,E17 9HJ
144243,Bosco Sussex,Barnham,PO22 0EN
144408,Bury Schools Alliance,Bury,BL8 3AX
144524,Beech HIll,Newcastle upon Tyne,NE5 2LW
144918,Extend Learning Academies Network (ELAN),Weston-super-Mare,BS24 8BH
145090,Richmond School,Richmond,DL10 7BQ
145097,William Shrewsbury Primary Partnership,Burton-on-Trent,DE13 0HE
145203,Learn-AT School Direct,Church Langton Nr Market Harborough,LE16 7SZ
145220,St John's CofE Primary School BD4 6JF,Bierley,BD4 6JF
145280,Wandle Teaching School Hub,LONDON,SW11 5DT
145303,Exceed Leeds East and West,Rillington Mead,BD10 0EF
145334,Dartmoor Teacher Training Partnership,Okehampton,EX20 1PW
145336,Devon and Cornwall Cooperative Alliance,Tavistock,PL19 8DD
145404,West Exe SD,Exeter,EX2 9JU
145440,Teach in Kent,Frindsbury,ME2 4QN
145526,Pudsey Primrose Hill,Leeds,LS28 6AB
145527,East Lindsey ITT Partnership,Coningbsy,LN42ET
145536,Mornington Primary School,Nottingham,NG16 1RF
145599,West Essex SCITT (St John's C of E Primary School),High Road,IG9 5RX
145634,Upton Meadows Primary School,Northampton,NN5 4EZ
145643,The Minster Learning Alliance,Southwell,NG25 0LG
145774,Acklam Grange School,Middlesbrough,TS5 8PB
145778,STAR Alliance,Chestnut Green,LS25 5PN
145780,The Wider Ponteland Partnership,Ponteland,NE20 9EY
145790,Shropshire Primary Partnership,Wem,SY4 5BX
145795,Consortium Multi Academy Trust, Halesworth,IP19 8BX
146064,Harleston CofE VA Primary School,Harleston,IP20 9HG
146215,Red Kite Primary School Direct (Leeds),Leeds,LS9 0JY
146237,Synergy,King's Lynn,PE32 2NS
146241,St Mary's School Direct Partnership Programme,Boston,PE21 9PX
146406,Ladywood School Direct,Bolton,BL31NG
146477,"Developing Teachers, Schools and Academies (DTSA)",Derby,DE65 9EL
146663,Jewish Schools Direct Primary Consortium,"",N14 4LG
146676,Somerset SCITT - Oak Partnership,Taunton,TA2 7QP
146816,Ashton Teacher Training Partnership,Ashton-under-Lyne,OL6 9RL
146857,Sparkenhoe School Direct,Leicester,LE2 0TD
147066,Boorley Park Primary School,Southampton,SO32 2SH
147100,Carlton Academy Trust Schools Direct,Bradford,BD3 0DU
147116,SAND Training & Outreach,Gloucester,GL2 9EU
147148,The Mead Educational Trust (School Direct),"Leicester, Leicestershire",LE4 5HH
147264,The Training Centre by Aspire,Hemel Hempstead,HP1 1ES
147335,St. Edward’s Teacher Training Partnership,Upton Park,E13 9AX
147393,Redcar and Cleveland Teacher Training Partnership,"",""
147429,St Polycarp’s Educational Partnership,Farnham,GU9 8BQ
147637,AIM Primary Alliance,Warrington,WA4 3AH
147670,Think North East School Direct Partnership,Sedgefield,TS21 3DD
147810,Chester Diocesan Academies Trust,Daresbury,WA4 4GE
147855,Woodloes Teaching Partnership,Warwick,CV34 5DF
148212,Forest of Dean Schools Direct (Formerly WGSP Schools Direct),Bream Road,GL15 5JH
148216,Halterworth Training School Partnership,Romsey,SO51 9AD
148256,Blessed Christopher Wharton Catholic Academy Trust,Bradford,BD9 4BQ
148428,Inspiring Leaders Primary (Derbyshire),Alfreton,DE55 7DQ
148611,Redwell Primary School,Wellingborough,NN8 5LQ
148680,ArrowITT,"",SP1 3GZ
148701,St Ninian Catholic Federation,Carlisle,CA2 4JD
149052,Gateshead Schools Direct,Blaydon,NE214NE
15797,Prince Albert Junior and Infant School,Aston,B6 6AJ
15879,Cornerstone Academy Trust,Exeter,EX5 3JG
16682,TCAT Train to Teach,Warrington,WA4 3AE
355311,St John’s Training School,Walsall,WS9 9NA
70023,Harlow Teacher Training Partnership FIPC,Harlow,CM18 7HT
70044,"INSPIRIT, St Thomas More TSA, Bedford",Stotfold,SG5 4HB
70094,Berlesduna Academy Trust Teacher Training,Wickford,SS12 0LZ
70246,"Windsor, Ascot and Maidenhead Consortium",Maidenhead,SL6 9BT
70275,Essex School Direct,Loughton,IG10 2LD
70287,Wensum Junior Partnership,Norwich,NR2 2LJ
70305,Bluecoat Academy,Nottingham,NG1 6AB
70370,Bishop Ramsey CE School,Ruislip,HA4 8EE
